id,phase,owner,reviewer,status,depends_on,title,card
FND-01,single_spark,Sol,Luna,todo,,Зафиксировать одноузловой контракт и исходную точку,tasks/FND-01.md
FND-02,single_spark,Sol,Luna,todo,FND-01,Инвентаризировать выбранный Spark без изменений системы,tasks/FND-02.md
FND-03,single_spark,Sol,Luna,todo,FND-02,Разрешить и проверить точные исходники,tasks/FND-03.md
FND-04,single_spark,Sol,Luna,todo,FND-03,Собрать неизменённый upstream baseline изолированно,tasks/FND-04.md
FND-05,single_spark,Sol,Luna,todo,FND-04,Импортировать проверенное ядро в собственную кодовую базу,tasks/FND-05.md
FND-06,single_spark,Sol,Luna,todo,FND-05,Создать независимые namespace и сборку,tasks/FND-06.md
FND-07,single_spark,Sol,Luna,todo,FND-06,Заморозить API inventory и совместимость,tasks/FND-07.md
CORE-01,single_spark,Sol,Luna,todo,FND-06,"Массивы: владение, scalar и shape",tasks/CORE-01.md
CORE-02,single_spark,Sol,Luna,todo,CORE-01,Типы данных и продвижение типов,tasks/CORE-02.md
CORE-03,single_spark,Sol,Luna,todo,CORE-02,Индексирование и обновления,tasks/CORE-03.md
CORE-04,single_spark,Sol,Luna,todo,CORE-03,Элементные операции и reductions,tasks/CORE-04.md
CORE-05,single_spark,Sol,Luna,todo,CORE-04,Matmul и свёртки,tasks/CORE-05.md
CORE-06,single_spark,Sol,Luna,todo,CORE-05,Нормы и attention primitives,tasks/CORE-06.md
CORE-07,single_spark,Sol,Luna,todo,CORE-06,Random и явное состояние RNG,tasks/CORE-07.md
CORE-08,single_spark,Sol,Luna,todo,CORE-07,"Linear algebra, FFT и остаток array API",tasks/CORE-08.md
CORE-09,single_spark,Sol,Luna,todo,CORE-08,Interoperability и export,tasks/CORE-09.md
CORE-10,single_spark,Sol,Luna,todo,CORE-09,Аудит полноты общего ядра,tasks/CORE-10.md
MEM-01,single_spark,Terra,Luna,todo,FND-04,Проверить реальные memory capabilities GB10,tasks/MEM-01.md
MEM-02,single_spark,Terra,Luna,todo,MEM-01,Ввести явные allocation policies,tasks/MEM-02.md
MEM-03,single_spark,Terra,Luna,todo,MEM-02,Сделать stream-aware pool,tasks/MEM-03.md
MEM-04,single_spark,Terra,Luna,todo,MEM-03,"Лимиты, memory pressure и OOM",tasks/MEM-04.md
MEM-05,single_spark,Terra,Luna,todo,MEM-04,Загрузка и запись без пиковых копий,tasks/MEM-05.md
MEM-06,single_spark,Terra,Luna,todo,MEM-05,Профиль UMA access patterns,tasks/MEM-06.md
MEM-07,single_spark,Terra,Luna,todo,MEM-06,Долговременный memory stress,tasks/MEM-07.md
EXEC-01,single_spark,Sol,Luna,todo,CORE-04,Lazy graph и границы materialization,tasks/EXEC-01.md
EXEC-02,single_spark,Sol,Luna,todo,EXEC-01,"Streams, events и ошибки async",tasks/EXEC-02.md
EXEC-03,single_spark,Sol,Luna,todo,EXEC-02,Compile и ограничения специализации,tasks/EXEC-03.md
EXEC-04,single_spark,Sol,Luna,todo,EXEC-03,CUDA Graph capture после корректной eager базы,tasks/EXEC-04.md
EXEC-05,single_spark,Sol,Luna,todo,EXEC-04,Profiler hooks и numerical mode,tasks/EXEC-05.md
EXEC-06,single_spark,Sol,Luna,todo,EXEC-05,Проверить композицию graph и обучения,tasks/EXEC-06.md
AD-01,single_spark,Sol,Luna,todo,CORE-06,Перенести reverse-mode и gradient contracts,tasks/AD-01.md
AD-02,single_spark,Sol,Luna,todo,AD-01,Forward-mode JVP,tasks/AD-02.md
AD-03,single_spark,Sol,Luna,todo,AD-02,vmap и batching rules,tasks/AD-03.md
AD-04,single_spark,Sol,Luna,todo,AD-03,Higher-order differentiation,tasks/AD-04.md
AD-05,single_spark,Sol,Luna,todo,AD-04,Activation checkpointing и state gradients,tasks/AD-05.md
AD-06,single_spark,Sol,Luna,todo,AD-05,Проверить optimized primitive transforms,tasks/AD-06.md
NN-01,single_spark,Sol,Luna,todo,AD-01,Module и parameter trees,tasks/NN-01.md
NN-02,single_spark,Sol,Luna,todo,NN-01,"Layers, initializers и losses",tasks/NN-02.md
NN-03,single_spark,Sol,Luna,todo,NN-02,Optimizers и schedules,tasks/NN-03.md
NN-04,single_spark,Sol,Luna,todo,NN-03,Checkpoint/resume общего обучения,tasks/NN-04.md
NN-05,single_spark,Sol,Luna,todo,NN-04,Полное обучение маленьких произвольных сетей,tasks/NN-05.md
NN-06,single_spark,Sol,Luna,todo,NN-05,Смешанная точность и gradient accumulation,tasks/NN-06.md
QWN-01,single_spark,Luna,Sol,todo,FND-03,Аудит checkpoint и семантики архитектуры,tasks/QWN-01.md
QWN-02,single_spark,Luna,Sol,todo,QWN-01,Безопасный weight loader и manifest,tasks/QWN-02.md
