category,representative_symbol_or_contract,status,phase,required_exact_inventory,evidence
array_semantics,array,not_started,single_spark,true,
array_semantics,asarray,not_started,single_spark,true,
array_semantics,dtype,not_started,single_spark,true,
array_semantics,shape,not_started,single_spark,true,
array_semantics,strides_and_contiguity,not_started,single_spark,true,
array_semantics,item,not_started,single_spark,true,
array_semantics,tolist,not_started,single_spark,true,
array_semantics,astype,not_started,single_spark,true,
array_semantics,view,not_started,single_spark,true,
array_semantics,reshape,not_started,single_spark,true,
array_semantics,transpose,not_started,single_spark,true,
array_semantics,broadcast_to,not_started,single_spark,true,
array_semantics,squeeze,not_started,single_spark,true,
array_semantics,expand_dims,not_started,single_spark,true,
array_semantics,concatenate,not_started,single_spark,true,
array_semantics,stack,not_started,single_spark,true,
array_semantics,split,not_started,single_spark,true,
array_semantics,moveaxis,not_started,single_spark,true,
array_semantics,flatten,not_started,single_spark,true,
array_semantics,indexing,not_started,single_spark,true,
array_semantics,array.at,not_started,single_spark,true,
dtypes,bool_,not_started,single_spark,true,
dtypes,int8,not_started,single_spark,true,
dtypes,int16,not_started,single_spark,true,
dtypes,int32,not_started,single_spark,true,
dtypes,int64_policy,not_started,single_spark,true,
dtypes,uint8,not_started,single_spark,true,
dtypes,uint16,not_started,single_spark,true,
dtypes,uint32,not_started,single_spark,true,
dtypes,uint64_policy,not_started,single_spark,true,
dtypes,float16,not_started,single_spark,true,
dtypes,bfloat16,not_started,single_spark,true,
dtypes,float32,not_started,single_spark,true,
dtypes,float64_policy,not_started,single_spark,true,
dtypes,complex64,not_started,single_spark,true,
dtypes,dtype_promotion,not_started,single_spark,true,
elementwise,add,not_started,single_spark,true,
elementwise,subtract,not_started,single_spark,true,
elementwise,multiply,not_started,single_spark,true,
elementwise,divide,not_started,single_spark,true,
elementwise,power,not_started,single_spark,true,
elementwise,negative,not_started,single_spark,true,
elementwise,abs,not_started,single_spark,true,
elementwise,exp,not_started,single_spark,true,
elementwise,log,not_started,single_spark,true,
elementwise,log1p,not_started,single_spark,true,
elementwise,sqrt,not_started,single_spark,true,
elementwise,rsqrt,not_started,single_spark,true,
elementwise,sin,not_started,single_spark,true,
elementwise,cos,not_started,single_spark,true,
elementwise,tanh,not_started,single_spark,true,
elementwise,sigmoid,not_started,single_spark,true,
elementwise,erf,not_started,single_spark,true,
elementwise,where,not_started,single_spark,true,
elementwise,clip,not_started,single_spark,true,
elementwise,maximum,not_started,single_spark,true,
elementwise,minimum,not_started,single_spark,true,
elementwise,isnan,not_started,single_spark,true,
elementwise,isinf,not_started,single_spark,true,
elementwise,isfinite,not_started,single_spark,true,
elementwise,bitwise_ops,not_started,single_spark,true,
reduction_indexing,sum,not_started,single_spark,true,
reduction_indexing,prod,not_started,single_spark,true,
reduction_indexing,mean,not_started,single_spark,true,
reduction_indexing,var,not_started,single_spark,true,
reduction_indexing,std,not_started,single_spark,true,
reduction_indexing,max,not_started,single_spark,true,
reduction_indexing,min,not_started,single_spark,true,
reduction_indexing,all,not_started,single_spark,true,
reduction_indexing,any,not_started,single_spark,true,
reduction_indexing,argmax,not_started,single_spark,true,
reduction_indexing,argmin,not_started,single_spark,true,
reduction_indexing,logsumexp,not_started,single_spark,true,
reduction_indexing,cumsum,not_started,single_spark,true,
reduction_indexing,cumprod,not_started,single_spark,true,
reduction_indexing,sort,not_started,single_spark,true,
reduction_indexing,argsort,not_started,single_spark,true,
reduction_indexing,partition,not_started,single_spark,true,
reduction_indexing,take,not_started,single_spark,true,
reduction_indexing,take_along_axis,not_started,single_spark,true,
reduction_indexing,put_along_axis,not_started,single_spark,true,
reduction_indexing,scatter,not_started,single_spark,true,
reduction_indexing,gather,not_started,single_spark,true,
linear_conv,matmul,not_started,single_spark,true,
linear_conv,addmm,not_started,single_spark,true,
linear_conv,einsum,not_started,single_spark,true,
linear_conv,tensordot,not_started,single_spark,true,
linear_conv,conv1d,not_started,single_spark,true,
linear_conv,conv2d,not_started,single_spark,true,
linear_conv,conv3d,not_started,single_spark,true,
linear_conv,conv_transpose1d,not_started,single_spark,true,
linear_conv,conv_transpose2d,not_started,single_spark,true,
linear_conv,conv_transpose3d,not_started,single_spark,true,
fast_ops,rms_norm,not_started,single_spark,true,
fast_ops,layer_norm,not_started,single_spark,true,
fast_ops,scaled_dot_product_attention,not_started,single_spark,true,
fast_ops,rope,not_started,single_spark,true,
fast_ops,cuda_custom_kernel_equivalent,not_started,single_spark,true,
fast_ops,gdn_update_extension,not_started,single_spark,true,
linear_algebra_fft,linalg.norm,not_started,single_spark,true,
linear_algebra_fft,linalg.qr,not_started,single_spark,true,
linear_algebra_fft,linalg.svd,not_started,single_spark,true,
linear_algebra_fft,linalg.eigh,not_started,single_spark,true,
linear_algebra_fft,linalg.inv,not_started,single_spark,true,
linear_algebra_fft,linalg.solve,not_started,single_spark,true,
linear_algebra_fft,linalg.cholesky,not_started,single_spark,true,
linear_algebra_fft,fft.fft,not_started,single_spark,true,
linear_algebra_fft,fft.ifft,not_started,single_spark,true,
linear_algebra_fft,fft.rfft,not_started,single_spark,true,
linear_algebra_fft,fft.irfft,not_started,single_spark,true,
linear_algebra_fft,fft.fftn,not_started,single_spark,true,
linear_algebra_fft,fft.ifftn,not_started,single_spark,true,
random,random.seed,not_started,single_spark,true,
random,random.key,not_started,single_spark,true,
random,random.split,not_started,single_spark,true,
random,random.uniform,not_started,single_spark,true,
random,random.normal,not_started,single_spark,true,
random,random.randint,not_started,single_spark,true,
random,random.bernoulli,not_started,single_spark,true,
random,random.categorical,not_started,single_spark,true,
random,random.permutation,not_started,single_spark,true,
execution_transforms,eval,not_started,single_spark,true,
execution_transforms,async_eval,not_started,single_spark,true,
execution_transforms,compile,not_started,single_spark,true,
execution_transforms,grad,not_started,single_spark,true,
execution_transforms,value_and_grad,not_started,single_spark,true,
execution_transforms,vjp,not_started,single_spark,true,
execution_transforms,jvp,not_started,single_spark,true,
execution_transforms,vmap,not_started,single_spark,true,
execution_transforms,checkpoint,not_started,single_spark,true,
execution_transforms,custom_function,not_started,single_spark,true,
execution_transforms,custom_vjp,not_started,single_spark,true,
execution_transforms,higher_order,not_started,single_spark,true,
execution_transforms,stream,not_started,single_spark,true,
execution_transforms,new_stream,not_started,single_spark,true,
execution_transforms,synchronize,not_started,single_spark,true,
execution_transforms,default_device,not_started,single_spark,true,
execution_transforms,device_info,not_started,single_spark,true,
serialization_interop,save,not_started,single_spark,true,
serialization_interop,load,not_started,single_spark,true,
serialization_interop,save_safetensors,not_started,single_spark,true,
serialization_interop,load_safetensors,not_started,single_spark,true,
serialization_interop,export_function,not_started,single_spark,true,
serialization_interop,import_function,not_started,single_spark,true,
serialization_interop,dlpack,not_started,single_spark,true,
serialization_interop,numpy_bridge,not_started,single_spark,true,
serialization_interop,C++_SDK,not_started,single_spark,true,
nn,Module,not_started,single_spark,true,
nn,Linear,not_started,single_spark,true,
nn,Embedding,not_started,single_spark,true,
nn,LayerNorm,not_started,single_spark,true,
nn,RMSNorm,not_started,single_spark,true,
nn,Dropout,not_started,single_spark,true,
nn,Conv1d,not_started,single_spark,true,
nn,Conv2d,not_started,single_spark,true,
nn,Conv3d,not_started,single_spark,true,
nn,MultiHeadAttention,not_started,single_spark,true,
nn,losses,not_started,single_spark,true,
nn,initializers,not_started,single_spark,true,
nn,parameter_trees,not_started,single_spark,true,
nn,train_eval,not_started,single_spark,true,
nn,freeze_unfreeze,not_started,single_spark,true,
optimizers,SGD,not_started,single_spark,true,
optimizers,Adam,not_started,single_spark,true,
optimizers,AdamW,not_started,single_spark,true,
optimizers,Adagrad,not_started,single_spark,true,
optimizers,RMSprop,not_started,single_spark,true,
optimizers,Adafactor_policy,not_started,single_spark,true,
optimizers,learning_rate_schedules,not_started,single_spark,true,
optimizers,gradient_clipping,not_started,single_spark,true,
optimizers,optimizer_state_resume,not_started,single_spark,true,
memory,active_memory,not_started,single_spark,true,
memory,peak_memory,not_started,single_spark,true,
memory,cache_memory,not_started,single_spark,true,
memory,memory_limit,not_started,single_spark,true,
memory,cache_limit,not_started,single_spark,true,
memory,clear_cache,not_started,single_spark,true,
memory,safe_oom,not_started,single_spark,true,
memory,stream_aware_reuse,not_started,single_spark,true,
distributed,distributed.init,deferred_by_owner,tp2,true,
distributed,all_sum,deferred_by_owner,tp2,true,
distributed,all_gather,deferred_by_owner,tp2,true,
distributed,send_recv,deferred_by_owner,tp2,true,
distributed,tensor_parallelism,deferred_by_owner,tp2,true,
